player_id,player_name,team,nationality,position,sources
5089,Ali Krieger,United States Women's,United States of America,Right Back,"[""statsbomb_open_data""]"
5647,Ali Maâloul,Tunisia,Tunisia,Left Wing Back,"[""statsbomb_open_data""]"
41385,Ali Nadhoim Ahamada,Toulouse,Comoros,Goalkeeper,"[""statsbomb_open_data""]"
50938,Ali Sowe,Gambia,Gambia,Center Forward,"[""statsbomb_open_data""]"
10213,Alia Guagni,Italy Women's,Italy,Left Back,"[""statsbomb_open_data""]"
18882,Aliaksandr Hleb,Barcelona,Belarus,Center Defensive Midfield,"[""statsbomb_open_data""]"
302290,Alice Griffiths,Wales,Wales,,"[""statsbomb_open_data""]"
26155,Alice Ogebe,Nigeria Women's,Nigeria,Left Center Forward,"[""statsbomb_open_data""]"
13843,Alice Parisi,Italy Women's,Italy,,"[""statsbomb_open_data""]"
49583,Alice Sombath,France Women's,France,Left Center Back,"[""statsbomb_open_data""]"
401741,Alicia Balicoco Barker,Philippines Women's,Philippines,Right Wing Back,"[""statsbomb_open_data""]"
77715,Alicia Window,Manchester City WFC,England,Center Forward,"[""statsbomb_open_data""]"
45047,Alidu Seidu,Clermont Foot,Ghana,Right Center Back,"[""statsbomb_open_data""]"
44311,Alieu Fadera,Gambia,Gambia,Left Back,"[""statsbomb_open_data""]"
6835,Alin Dorinel Toșca,Real Betis,Romania,Left Center Back,"[""statsbomb_open_data""]"
49989,Aline Villares Reis,Brazil Women's,Brazil,,"[""statsbomb_open_data""]"
40303,Aliou Cissé,Birmingham City,Senegal,Right Center Midfield,"[""statsbomb_open_data""]"
67714,Aliou Dieng,Mali,Mali,Right Center Midfield,"[""statsbomb_open_data""]"
5239,Alireza Jahanbakhsh,Iran,"Iran, Islamic Republic of",Right Wing,"[""statsbomb_open_data""]"
5227,Alireza Safar Beiranvand,Iran,"Iran, Islamic Republic of",Goalkeeper,"[""statsbomb_open_data""]"
18153,Alisha Lehmann,West Ham United LFC,Switzerland,Left Center Forward,"[""statsbomb_open_data""]"
5547,Alisson Ramsés Becker,Liverpool,Brazil,Goalkeeper,"[""statsbomb_open_data""]"
44703,Alistair Johnston,Canada,Canada,Right Center Back,"[""statsbomb_open_data""]"
24061,Aljaž Struna,Palermo,Slovenia,Right Center Back,"[""statsbomb_open_data""]"
313937,Aljoscha Kemlein,Union Berlin,Germany,,"[""statsbomb_open_data""]"
397899,Allan John Clarke,England,England,,"[""statsbomb_open_data""]"
7035,Allan Marques Loureiro,Napoli,Brazil,Right Center Midfield,"[""statsbomb_open_data""]"
3991,Allan Romeo Nyom,Leganés,Cameroon,Right Wing,"[""statsbomb_open_data""]"
3016,Allan Saint-Maximin,Hannover 96,France,Center Forward,"[""statsbomb_open_data""]"
5001,Allie Long,United States Women's,United States of America,Right Center Midfield,"[""statsbomb_open_data""]"
5038,Allysha Lyn Chapman,Canada Women's,Canada,Left Back,"[""statsbomb_open_data""]"
25545,Allyson Swaby,Jamaica Women's,Jamaica,Right Center Back,"[""statsbomb_open_data""]"
3204,Almamy Touré,AS Monaco,Mali,Right Back,"[""statsbomb_open_data""]"
43081,Almen Abdi,Watford,Switzerland,Left Midfield,"[""statsbomb_open_data""]"
124495,Almoez Ali Zainalabiddin Abdulla,Qatar,Qatar,Right Center Forward,"[""statsbomb_open_data""]"
20485,Almog Cohen,Ingolstadt,Israel,Center Forward,"[""statsbomb_open_data""]"
10257,Almuth Schult,Germany Women's,Germany,Goalkeeper,"[""statsbomb_open_data""]"
229444,Alonso Coello Camarero,Toronto FC,Spain,Center Defensive Midfield,"[""statsbomb_open_data""]"
401469,Aloy Ihenacho,Ingolstadt,Nigeria,,"[""statsbomb_open_data""]"
4413,Aloïs Confais,Troyes,France,Right Back,"[""statsbomb_open_data""]"
15092,Alpay Fehmi Özalan,Aston Villa,Turkey,,"[""statsbomb_open_data""]"
3379,Alphonse Areola,Real Madrid,France,Goalkeeper,"[""statsbomb_open_data""]"
12365,Alphonso Davies,Canada,Canada,Left Wing Back,"[""statsbomb_open_data""]"
141136,Alphousseyni Sané,Marseille,France,,"[""statsbomb_open_data""]"
398142,Altair Gomes de Figueiredo,Brazil,Brazil,,"[""statsbomb_open_data""]"
30442,Altay Bayındır,Turkey,Turkey,Goalkeeper,"[""statsbomb_open_data""]"
399712,Alvin Martin,England,England,,"[""statsbomb_open_data""]"
27146,Aly Cissokho,Aston Villa,France,Left Back,"[""statsbomb_open_data""]"
26821,Aly Keita,Guinea,Guinea,,"[""statsbomb_open_data""]"
7369,Aly Ndom,Stade de Reims,France,Right Wing Back,"[""statsbomb_open_data""]"
4997,Alyssa Kleiner,OL Reign,United States of America,Right Wing,"[""statsbomb_open_data""]"
4953,Alyssa Mautz,Chicago Red Stars,United States of America,Right Back,"[""statsbomb_open_data""]"
5100,Alyssa Michele Naeher,United States Women's,United States of America,Goalkeeper,"[""statsbomb_open_data""]"
389495,Alyssa Paola Thompson,United States Women's,United States of America,Right Wing,"[""statsbomb_open_data""]"
276578,Alícia de Figueiredo Lima Correia,Portugal Women's,Portugal,,"[""statsbomb_open_data""]"
263057,Amade Momade,Mozambique,Mozambique,Right Wing,"[""statsbomb_open_data""]"
40868,Amadou Dante,Mali,Mali,Left Back,"[""statsbomb_open_data""]"
8284,Amadou Diawara,Bologna,Guinea,Center Defensive Midfield,"[""statsbomb_open_data""]"
8774,Amadou Haïdara,Mali,Mali,Left Center Midfield,"[""statsbomb_open_data""]"
48347,Amadou Onana,Lille,Belgium,Left Center Forward,"[""statsbomb_open_data""]"
134918,Amadou Salif Mbengue,Metz,Senegal,Right Wing Back,"[""statsbomb_open_data""]"
50368,Amaiur Sarriegi,Spain Women's,Spain,Center Forward,"[""statsbomb_open_data""]"
224831,Amalie Jørgensen Vangsgaard,Denmark Women's,Denmark,Right Midfield,"[""statsbomb_open_data""]"
26570,Amalie Vevle Eikeland,Reading WFC,Norway,Left Center Forward,"[""statsbomb_open_data""]"
397766,Amancio Amaro Varela,Real Madrid,Spain,Center Forward,"[""statsbomb_open_data""]"
4970,Amanda Frisbie,NJ/NY Gotham FC,United States of America,Left Back,"[""statsbomb_open_data""]"
26092,Amanda Ilestedt,Sweden Women's,Sweden,Right Center Back,"[""statsbomb_open_data""]"
225028,Amanda Jacobsen Andradóttir,Iceland Women's,Iceland,Left Midfield,"[""statsbomb_open_data""]"
25518,Amanda Mthandi,South Africa Women's,South Africa,Left Midfield,"[""statsbomb_open_data""]"
21023,Amanda Nildén,Brighton & Hove Albion WFC,Sweden,Center Forward,"[""statsbomb_open_data""]"
225181,Amanda Rantanen,WNT Finland,Finland,Left Midfield,"[""statsbomb_open_data""]"
10154,Amanda Sampedro Bustos,Spain Women's,Spain,Right Wing,"[""statsbomb_open_data""]"
10123,Amandine Henry,France Women's,France,Right Defensive Midfield,"[""statsbomb_open_data""]"
30555,Amandine Pierre-Louis,NJ/NY Gotham FC,Canada,,"[""statsbomb_open_data""]"
79498,Amankwaa Akurugu,Getafe,Ghana,Left Back,"[""statsbomb_open_data""]"
398140,Amarildo Tavares da Silveira,Brazil,Brazil,,"[""statsbomb_open_data""]"
161106,Amarjit Singh Kiyam Singh,East Bengal,India,Right Back,"[""statsbomb_open_data""]"
6621,Amath Ndiaye,Getafe,Senegal,Right Midfield,"[""statsbomb_open_data""]"
387428,Amauri Carvalho de Oliveira,Torino,Italy,Left Center Midfield,"[""statsbomb_open_data""]"
135257,Amber Barrett,Republic of Ireland Women's,Ireland,Center Forward,"[""statsbomb_open_data""]"
5045,Amber Brooks,Houston Dash,United States of America,Left Center Back,"[""statsbomb_open_data""]"
15711,Amber Gaylor,Yeovil Town LFC,England,Left Wing,"[""statsbomb_open_data""]"
276907,Amber Tysiak,Belgium Women's,Belgium,Left Center Back,"[""statsbomb_open_data""]"
6408,Ambroise Oyongo Bitolo,Montpellier,Cameroon,Left Midfield,"[""statsbomb_open_data""]"
136312,Ambrosini Antonio Cabaça Salvador,Angola,Angola,Left Wing,"[""statsbomb_open_data""]"
40343,Amdy Moustapha Faye,Portsmouth,Senegal,Right Defensive Midfield,"[""statsbomb_open_data""]"
15249,Amel Majri,France Women's,France,Left Back,"[""statsbomb_open_data""]"
22297,Amelia Hazard,Arsenal WFC,England,Right Wing,"[""statsbomb_open_data""]"
159767,Amey Ganesh Ranawade,Mumbai City,India,Right Back,"[""statsbomb_open_data""]"
42754,Amin Sarr,Lyon,Sweden,Left Center Forward,"[""statsbomb_open_data""]"
33401,Amine Adli,Bayer Leverkusen,Morocco,Right Midfield,"[""statsbomb_open_data""]"
4435,Amine Gouiri,OGC Nice,France,Left Midfield,"[""statsbomb_open_data""]"
5243,Amine Harit,Marseille,Morocco,Right Wing,"[""statsbomb_open_data""]"
188748,Amine Salama,Angers,France,Right Center Forward,"[""statsbomb_open_data""]"
11224,Amir Abedzadeh,Iran,"Iran, Islamic Republic of",,"[""statsbomb_open_data""]"
10745,Amir Abrashi,Albania,Albania,,"[""statsbomb_open_data""]"
161092,Amir Derviševič,East Bengal,Slovenia,Left Center Midfield,"[""statsbomb_open_data""]"
118368,Amir Richardson,Morocco,France,Left Center Midfield,"[""statsbomb_open_data""]"
63077,Amira Arfaoui,Switzerland Women's,Switzerland,,"[""statsbomb_open_data""]"
23384,Amos Pieper,Werder Bremen,Germany,,"[""statsbomb_open_data""]"
7389,Amos Youga,Gazélec Ajaccio,Central African Republic,Left Center Midfield,"[""statsbomb_open_data""]"
5253,Amr Medhat Warda,Egypt,Egypt,Right Defensive Midfield,"[""statsbomb_open_data""]"
124773,Amrinder Singh,ATK Mohun Bagan,India,Goalkeeper,"[""statsbomb_open_data""]"
209028,Amritpal Singh,Hyderabad,India,Left Center Back,"[""statsbomb_open_data""]"
15708,Amy Goddard,Yeovil Town LFC,England,Right Back,"[""statsbomb_open_data""]"
26165,Amy Harrison,Australia Women's,Australia,Left Back,"[""statsbomb_open_data""]"
47543,Amy Martin,Tottenham Hotspur Women,England,,"[""statsbomb_open_data""]"
19417,Amy Rodgers,Liverpool WFC,England,Center Midfield,"[""statsbomb_open_data""]"
5024,Amy Rodriguez,Utah Royals,United States of America,Center Forward,"[""statsbomb_open_data""]"
31533,Amy Turner,Manchester United,England,Left Back,"[""statsbomb_open_data""]"
46543,Amy West,Aston Villa,England,Center Defensive Midfield,"[""statsbomb_open_data""]"
401958,Ana Albuquerque,Arsenal WFC,Portugal,,"[""statsbomb_open_data""]"
10141,Ana Borges,Portugal Women's,Portugal,Left Center Forward,"[""statsbomb_open_data""]"
402132,Ana Ines Palma Capeta,Portugal Women's,Portugal,Center Attacking Midfield,"[""statsbomb_open_data""]"
403271,Ana María Guzmán Zapata,Colombia Women's,Colombia,Left Back,"[""statsbomb_open_data""]"
62910,Ana Rita Silva Seiça,Portugal Women's,Portugal,Left Center Back,"[""statsbomb_open_data""]"
32140,Ana Rute Campos Costa,Portugal Women's,Portugal,,"[""statsbomb_open_data""]"
402133,Ana Rute Santos Marques Rodrigues,Portugal Women's,Portugal,Left Defensive Midfield,"[""statsbomb_open_data""]"
62907,Ana Vitória Angélica Kliemaschewsk de Araújo,Brazil Women's,Brazil,Right Midfield,"[""statsbomb_open_data""]"
10408,Ana-Maria Crnogorčević,Switzerland Women's,Switzerland,Right Midfield,"[""statsbomb_open_data""]"
6709,Anaitz Arbilla Zabala,Eibar,Spain,Right Center Back,"[""statsbomb_open_data""]"
25715,Anam Imo,Nigeria Women's,Nigeria,Left Wing,"[""statsbomb_open_data""]"
65837,Ananias Gebhardt,Namibia,Namibia,Right Center Back,"[""statsbomb_open_data""]"
124928,Ananta Tamang,East Bengal,Nepal,Right Center Back,"[""statsbomb_open_data""]"
124768,Anas Edathodika,Jamshedpur,India,Left Midfield,"[""statsbomb_open_data""]"
131037,Anass Zaroury,Morocco,Belgium,Left Wing,"[""statsbomb_open_data""]"
8948,Anastasios Donis,Stade de Reims,Greece,Right Center Midfield,"[""statsbomb_open_data""]"
37330,Anatolii Trubin,Ukraine,Ukraine,Goalkeeper,"[""statsbomb_open_data""]"
397979,Anatoliy Radenko,Soviet Union U20,Ukraine,Center Defensive Midfield,"[""statsbomb_open_data""]"
13014,Anatoliy Tymoshchuk,Bayern Munich,Ukraine,Left Center Back,"[""statsbomb_open_data""]"
40864,Ander Bardaji Maiza Lasgar,Real Sociedad,Spain,,"[""statsbomb_open_data""]"
22321,Ander Barrenetxea Muguruza,Real Sociedad,Spain,Left Center Back,"[""statsbomb_open_data""]"
6699,Ander Capa Rodríguez,Athletic Club,Spain,Right Center Forward,"[""statsbomb_open_data""]"
166764,Ander Gayoso Reina,Eibar,Spain,Left Back,"[""statsbomb_open_data""]"
24236,Ander Guevara Lajo,Real Sociedad,Spain,Right Defensive Midfield,"[""statsbomb_open_data""]"
3606,Ander Herrera Agüera,Athletic Club,Spain,Left Defensive Midfield,"[""statsbomb_open_data""]"
6388,Ander Iturraspe Derteano,Athletic Club,Spain,Left Defensive Midfield,"[""statsbomb_open_data""]"
26030,Ander Murillo García,Athletic Club,Spain,Right Defensive Midfield,"[""statsbomb_open_data""]"
16566,Anders Christiansen,Denmark,Denmark,,"[""statsbomb_open_data""]"
23287,Anders Dreyer,Denmark,Denmark,,"[""statsbomb_open_data""]"
29430,Anders Rosenkrantz Lindegaard,West Bromwich Albion,Denmark,,"[""statsbomb_open_data""]"
20193,Anders Svensson,Southampton,Sweden,Right Defensive Midfield,"[""statsbomb_open_data""]"
27456,Anderson Conceição Benedito,Mallorca,Brazil,Left Center Back,"[""statsbomb_open_data""]"
25345,Anderson Hernanes de Carvalho Andrade,Inter Milan,Brazil,Center Attacking Midfield,"[""statsbomb_open_data""]"
38411,Anderson Luis de Abreu Oliveira,Manchester United,Brazil,Left Center Midfield,"[""statsbomb_open_data""]"
25764,Anderson Luis de Carvalho,Deportivo Alavés,Brazil,Left Midfield,"[""statsbomb_open_data""]"
19757,Anderson Luís de Souza,FC Porto,Portugal,Center Attacking Midfield,"[""statsbomb_open_data""]"
5738,Anderson Santamaría Bardales,Peru,Peru,Left Center Forward,"[""statsbomb_open_data""]"
26457,Anderson Silva de França,Málaga,Brazil,Left Center Forward,"[""statsbomb_open_data""]"
4940,Andi Sullivan,United States Women's,United States of America,Center Defensive Midfield,"[""statsbomb_open_data""]"
25515,Andile Dlamini,South Africa Women's,South Africa,Goalkeeper,"[""statsbomb_open_data""]"
38688,Andoni Goikoetxea,Athletic Club,Spain,Left Center Back,"[""statsbomb_open_data""]"
6670,Andoni Gorosabel Espinosa,Real Sociedad,Spain,Right Back,"[""statsbomb_open_data""]"
26031,Andoni Iraola Sagarna,Athletic Club,Spain,Right Back,"[""statsbomb_open_data""]"
13798,Andoni Zubizarreta Urreta,Athletic Club,Spain,Goalkeeper,"[""statsbomb_open_data""]"
31866,Andraž Šporar,Slovenia,Slovenia,Right Center Forward,"[""statsbomb_open_data""]"
9630,Andre Green,Aston Villa,England,Center Attacking Midfield,"[""statsbomb_open_data""]"
12294,Andre Hoffmann,Hannover 96,Germany,Center Defensive Midfield,"[""statsbomb_open_data""]"
397707,Andre Lerond,France,France,Left Back,"[""statsbomb_open_data""]"
4808,Andre Wisdom,Norwich City,England,Right Back,"[""statsbomb_open_data""]"
48054,Andrea Badan,Hellas Verona,Italy,,"[""statsbomb_open_data""]"
6943,Andrea Barzagli,Juventus,Italy,Right Center Back,"[""statsbomb_open_data""]"
7471,Andrea Belotti,Italy,Italy,Center Forward,"[""statsbomb_open_data""]"
7147,Andrea Bertolacci,AC Milan,Italy,Right Center Midfield,"[""statsbomb_open_data""]"
50729,Andrea Cambiaso,Italy,Italy,Right Wing,"[""statsbomb_open_data""]"
39822,Andrea Carnevale,Napoli,Italy,Left Center Forward,"[""statsbomb_open_data""]"
40321,Andrea Coda,Sampdoria,Italy,Left Center Back,"[""statsbomb_open_data""]"
7132,Andrea Consigli,Sassuolo,Italy,Goalkeeper,"[""statsbomb_open_data""]"
8657,Andrea Conti,Atalanta,Italy,Right Back,"[""statsbomb_open_data""]"
8664,Andrea Costa,Empoli,Italy,Left Center Back,"[""statsbomb_open_data""]"
13428,Andrea Favilli,Juventus,Italy,Left Center Forward,"[""statsbomb_open_data""]"
401571,Andrea Gambetta,OGC Nice,France,,"[""statsbomb_open_data""]"
387692,Andrea Gulli,Genoa,Italy,,"[""statsbomb_open_data""]"
387475,Andrea Lazzari,Carpi,Italy,Center Attacking Midfield,"[""statsbomb_open_data""]"
387833,Andrea Liotti,Carpi,Italy,,"[""statsbomb_open_data""]"
6992,Andrea Masiello,Atalanta,Italy,Right Back,"[""statsbomb_open_data""]"
398698,Andrea Morello,Torino,Italy,,"[""statsbomb_open_data""]"
10150,Andrea Pereira Cejudo,Spain Women's,Spain,,"[""statsbomb_open_data""]"
19849,Andrea Pirlo,Juventus,Italy,Center Defensive Midfield,"[""statsbomb_open_data""]"
7168,Andrea Poli,AC Milan,Italy,Right Center Midfield,"[""statsbomb_open_data""]"
3374,Andrea Raggi,AS Monaco,Italy,Right Center Back,"[""statsbomb_open_data""]"
7962,Andrea Ranocchia,Inter Milan,Italy,Left Center Forward,"[""statsbomb_open_data""]"
30769,Andrea Rispoli,Palermo,Italy,Right Wing Back,"[""statsbomb_open_data""]"
11426,Andrea Seculin,Chievo,Italy,Goalkeeper,"[""statsbomb_open_data""]"
25842,Andrea Sánchez Falcón,Spain Women's,Spain,Left Midfield,"[""statsbomb_open_data""]"
38676,Andreas Brehme,Germany,Germany,Right Center Back,"[""statsbomb_open_data""]"
36999,Andreas Bruus,Troyes,Denmark,,"[""statsbomb_open_data""]"
3959,Andreas Christensen,Denmark,Denmark,Left Center Back,"[""statsbomb_open_data""]"
5732,Andreas Evald Cornelius,Denmark,Denmark,Left Center Midfield,"[""statsbomb_open_data""]"
5607,Andreas Granqvist,Sweden,Sweden,Left Center Back,"[""statsbomb_open_data""]"
41001,Andreas Görlitz,Bayern Munich,Germany,,"[""statsbomb_open_data""]"
31437,Andreas Hirzel,Hamburger SV,Switzerland,Goalkeeper,"[""statsbomb_open_data""]"
6846,Andreas Hoelgebaum Pereira,Granada,Brazil,Left Wing,"[""statsbomb_open_data""]"
20494,Andreas Ivanschitz,Levante UD,Austria,Right Midfield,"[""statsbomb_open_data""]"
17593,Andreas Luthe,Bochum,Germany,,"[""statsbomb_open_data""]"
48825,Andreas Müller,Darmstadt 98,Germany,Right Defensive Midfield,"[""statsbomb_open_data""]"
17042,Andreas Skov Olsen,Denmark,Denmark,Center Forward,"[""statsbomb_open_data""]"
8777,Andreas Ulmer,Austria,Austria,Left Wing Back,"[""statsbomb_open_data""]"
40848,Andreas Vasilios Zikos,AS Monaco,Greece,Left Center Midfield,"[""statsbomb_open_data""]"
4813,Andreas Weimann,Austria,Austria,Right Wing,"[""statsbomb_open_data""]"
31799,Andreaw Gravillon,Stade de Reims,Guadeloupe,Right Center Back,"[""statsbomb_open_data""]"
31908,Andrei Burcă Andonie,Romania,Romania,Left Center Back,"[""statsbomb_open_data""]"
24861,Andrei Florin Ratiu,Villarreal,Romania,Right Back,"[""statsbomb_open_data""]"
3143,Andrei Girotto,Nantes,Brazil,Center Defensive Midfield,"[""statsbomb_open_data""]"
34875,Andreia Alexandra Norton,Portugal Women's,Portugal,Left Center Midfield,"[""statsbomb_open_data""]"
62904,Andreia Martins Faria,Portugal Women's,Portugal,Center Forward,"[""statsbomb_open_data""]"
327442,Andreia de Jesus Jacinto,Portugal Women's,Portugal,Left Center Midfield,"[""statsbomb_open_data""]"
5460,Andrej Kramarić,Leicester City,Croatia,Left Center Midfield,"[""statsbomb_open_data""]"
397958,Andrej Kvašňák,Czechoslovakia,Slovakia,Left Defensive Midfield,"[""statsbomb_open_data""]"
388778,Andres Llamas Acuna,AC Milan,Italy,,"[""statsbomb_open_data""]"
24368,Andressa Alves da Silva,Brazil Women's,Brazil,Right Midfield,"[""statsbomb_open_data""]"
5018,Andressa Cavalari Machry,Brazil Women's,Brazil,Left Defensive Midfield,"[""statsbomb_open_data""]"
6890,Andreu Fontàs Prat,Celta Vigo,Spain,Right Defensive Midfield,"[""statsbomb_open_data""]"
26237,Andreu Guerao Mayoral,Sporting Gijón,Spain,Left Defensive Midfield,"[""statsbomb_open_data""]"
40406,Andrew Davies,Middlesbrough,England,Right Center Back,"[""statsbomb_open_data""]"
10759,Andrew Hjulsager,Celta Vigo,Denmark,,"[""statsbomb_open_data""]"
5486,Andrew Nabbout,Australia,Australia,Center Forward,"[""statsbomb_open_data""]"
3665,Andrew Philip King,Leicester City,Wales,Right Center Midfield,"[""statsbomb_open_data""]"
389473,Andrew Privett,Charlotte,United States of America,Left Center Back,"[""statsbomb_open_data""]"
33564,Andrew Redmayne,Australia,Australia,,"[""statsbomb_open_data""]"
3655,Andrew Robertson,Liverpool,Scotland,Left Back,"[""statsbomb_open_data""]"
3344,Andrew Surman,AFC Bournemouth,England,Right Defensive Midfield,"[""statsbomb_open_data""]"
16305,Andrey Lunev,Russia,Russia,,"[""statsbomb_open_data""]"
34588,Andrey Semenov,Russia,Russia,Right Center Back,"[""statsbomb_open_data""]"
8326,Andries Noppert,Netherlands,Netherlands,Goalkeeper,"[""statsbomb_open_data""]"
7795,Andrija Balić,Udinese,Croatia,,"[""statsbomb_open_data""]"
27121,Andrija Delibašić,Rayo Vallecano,Montenegro,Center Forward,"[""statsbomb_open_data""]"
6318,Andrija Živković,Serbia,Serbia,Right Wing Back,"[""statsbomb_open_data""]"
21390,Andriy Lunin,Leganés,Ukraine,Goalkeeper,"[""statsbomb_open_data""]"
10997,Andriy Pyatov,Ukraine,Ukraine,,"[""statsbomb_open_data""]"
20295,Andriy Shevchenko,AC Milan,Ukraine,Right Center Forward,"[""statsbomb_open_data""]"
8830,Andriy Yarmolenko,Ukraine,Ukraine,Right Wing,"[""statsbomb_open_data""]"
3297,Andros Townsend,Newcastle United,England,Right Defensive Midfield,"[""statsbomb_open_data""]"
42822,András Schäfer,Hungary,Hungary,Left Center Midfield,"[""statsbomb_open_data""]"
3347,André Ayew Pelé,Swansea City,Ghana,Left Wing,"[""statsbomb_open_data""]"
30338,André Biyogo Poko,Bordeaux,Gabon,Right Midfield,"[""statsbomb_open_data""]"
23317,André Campos Moreira,Atlético Madrid,Portugal,,"[""statsbomb_open_data""]"
10802,André Filipe Tavares Gomes,Barcelona,Portugal,Right Wing,"[""statsbomb_open_data""]"
8322,André Hahn,Borussia Mönchengladbach,Germany,Left Midfield,"[""statsbomb_open_data""]"
3632,André Martín Carrillo Díaz,Peru,Peru,Right Defensive Midfield,"[""statsbomb_open_data""]"
5218,André Miguel Valente Silva,Sevilla,Portugal,Right Center Forward,"[""statsbomb_open_data""]"
8064,André Onana,Cameroon,Cameroon,Goalkeeper,"[""statsbomb_open_data""]"
9363,André Ramalho Silva,Bayer Leverkusen,Brazil,Right Midfield,"[""statsbomb_open_data""]"
10281,André Schürrle,Wolfsburg,Germany,Left Wing,"[""statsbomb_open_data""]"
26703,André de Castro Pereira,Sporting Gijón,Portugal,Left Center Midfield,"[""statsbomb_open_data""]"
3141,André-Frank Zambo Anguissa,Villarreal,Cameroon,Right Center Midfield,"[""statsbomb_open_data""]"
8697,Andrés Eduardo Fernández Moreno,Villarreal,Spain,Goalkeeper,"[""statsbomb_open_data""]"
44395,Andrés Fabián Ponce Núñez,Sampdoria,Venezuela (Bolivarian Republic),Center Forward,"[""statsbomb_open_data""]"
29138,Andrés Felipe Reyes Ambuila,New York Red Bulls,Colombia,Right Center Back,"[""statsbomb_open_data""]"
5216,Andrés Iniesta Luján,Barcelona,Spain,Left Center Midfield,"[""statsbomb_open_data""]"
25957,Andrés José Fleurquin Rubio,Cádiz,Uruguay,Left Defensive Midfield,"[""statsbomb_open_data""]"
27198,Andrés José Túñez Arceo,Celta Vigo,Venezuela (Bolivarian Republic),Left Center Back,"[""statsbomb_open_data""]"
26644,Andrés Lamas Bervejillo,Recreativo Huelva,Uruguay,Left Center Back,"[""statsbomb_open_data""]"
6193,Andrés Mateus Uribe Villa,Colombia,Colombia,Center Defensive Midfield,"[""statsbomb_open_data""]"
25410,Andrés Nicolás D''Alessandro,Real Zaragoza,Argentina,Right Midfield,"[""statsbomb_open_data""]"
25946,Andrés Palop Cervera,Sevilla,Spain,Goalkeeper,"[""statsbomb_open_data""]"
31469,Andrés Pascual Santoja,Valencia,Spain,Left Wing,"[""statsbomb_open_data""]"
6848,Andrés Tomás Prieto Albert,Espanyol,Spain,Goalkeeper,"[""statsbomb_open_data""]"
44734,Andy Alune Diouf,Rennes,France,,"[""statsbomb_open_data""]"
4271,Andy Carroll,West Ham United,England,Center Forward,"[""statsbomb_open_data""]"
24767,Andy Cole,Blackburn Rovers,England,Right Center Forward,"[""statsbomb_open_data""]"
3038,Andy Delort,OGC Nice,Algeria,Right Center Forward,"[""statsbomb_open_data""]"
375888,Andy Impey,Leicester City,England,Right Back,"[""statsbomb_open_data""]"
13435,Andy Jorman Polo Andrade,Peru,Peru,Right Wing Back,"[""statsbomb_open_data""]"
40415,Andy Melville,Fulham,Wales,Right Center Back,"[""statsbomb_open_data""]"
40225,"Andy O""Brien",Newcastle United,Ireland,Right Center Back,"[""statsbomb_open_data""]"
388549,Andy Rojas Maroto,Costa Rica,Costa Rica,Center Forward,"[""statsbomb_open_data""]"
40355,Andy Todd,Blackburn Rovers,England,Right Center Back,"[""statsbomb_open_data""]"
27652,Anel Ahmedhodžić,Bordeaux,Bosnia and Herzegovina,Left Center Back,"[""statsbomb_open_data""]"
5639,Anga Dedryck Boyata,Belgium,Belgium,Center Back,"[""statsbomb_open_data""]"
22343,Angel Gomes,Lille,England,Right Center Forward,"[""statsbomb_open_data""]"
31550,Angela Addison,Tottenham Hotspur Women,England,Left Wing,"[""statsbomb_open_data""]"
401731,Angela Beard,Philippines Women's,Philippines,Left Center Back,"[""statsbomb_open_data""]"
8565,Angela Salem,Portland Thorns,United States of America,Left Defensive Midfield,"[""statsbomb_open_data""]"
109776,Angelina Alonso Costantino,Brazil Women's,Brazil,,"[""statsbomb_open_data""]"
15118,Angelo Di Livio,Fiorentina,Italy,Right Midfield,"[""statsbomb_open_data""]"
397674,Angelo Domenghini,Italy,Italy,Right Wing Back,"[""statsbomb_open_data""]"
12475,Angelo Esmael da Costa Júnior,Bologna,Brazil,Goalkeeper,"[""statsbomb_open_data""]"
3548,Angelo Fulgini,Lens,France,Left Attacking Midfield,"[""statsbomb_open_data""]"
3843,Angelo Obinze Ogbonna,Juventus,Italy,Left Center Back,"[""statsbomb_open_data""]"
40429,Angelo Palombo,Sampdoria,Italy,Center Attacking Midfield,"[""statsbomb_open_data""]"
37737,Angelo Smit Preciado Quiñónez,Ecuador,Ecuador,Right Back,"[""statsbomb_open_data""]"
39360,Angelo Stiller,VfB Stuttgart,Germany,Left Defensive Midfield,"[""statsbomb_open_data""]"
19771,Angelos Basinas,Mallorca,Greece,Left Center Midfield,"[""statsbomb_open_data""]"
15577,Angharad James,Everton LFC,Wales,Left Center Midfield,"[""statsbomb_open_data""]"
46735,Angie Dunbar,West Ham United LFC,England,,"[""statsbomb_open_data""]"
22379,Angus Gunn,Scotland,Scotland,Goalkeeper,"[""statsbomb_open_data""]"
5649,Anice Badri,Tunisia,Tunisia,Left Center Midfield,"[""statsbomb_open_data""]"
401743,Anicka Chabeli Arrieta Castañeda,Philippines Women's,Philippines,,"[""statsbomb_open_data""]"
62951,Aniek Nouwen,Netherlands Women's,Netherlands,Left Center Back,"[""statsbomb_open_data""]"
166022,Aniket Anil Jadhav,Hyderabad,India,Left Wing,"[""statsbomb_open_data""]"
124759,Anirudh Thapa,Chennaiyin,India,Right Center Midfield,"[""statsbomb_open_data""]"
35592,Anis Ben Slimane,Tunisia,Tunisia,Right Wing,"[""statsbomb_open_data""]"
